City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
245,Upernavik,GL,72.7868,-56.1549,10.35,87,23,2.95,few clouds
246,Mangan,IN,27.5167,88.5333,72.0,92,99,1.1,overcast clouds
247,Grindavik,IS,63.8424,-22.4338,36.07,75,0,10.36,clear sky
248,Carnarvon,AU,-24.8667,113.6333,64.71,56,0,20.22,clear sky
249,Kieta,PG,-6.2167,155.6333,85.42,61,32,3.85,scattered clouds
250,Abu Samrah,SY,35.3029,37.1841,68.23,34,4,3.89,clear sky
251,Maumere,ID,-8.6199,122.2111,84.09,66,15,3.22,few clouds
252,Guanica,PR,17.9716,-66.908,80.51,82,100,11.54,overcast clouds
253,Sumbe,AO,-11.2061,13.8437,74.71,91,6,6.06,clear sky
254,Anchorage,US,61.2181,-149.9003,51.84,59,100,16.11,light rain
255,Soroti,UG,1.7146,33.6111,64.18,93,74,3.69,broken clouds
256,Lensk,RU,60.7253,114.9278,39.16,66,100,4.38,overcast clouds
257,Tvoroyri,FO,61.5556,-6.8111,46.08,77,100,14.03,overcast clouds
258,Vaitape,PF,-16.5167,-151.75,81.57,68,97,15.41,overcast clouds
259,Alofi,NU,-19.0595,-169.9187,80.49,57,100,12.66,overcast clouds
260,Arona,ES,28.0996,-16.681,64.81,76,0,5.75,clear sky
261,Richards Bay,ZA,-28.783,32.0377,65.17,92,12,3.2,few clouds
262,Monterey,US,36.2505,-121.2516,78.17,35,0,18.68,clear sky
263,Maceio,BR,-9.6658,-35.7353,76.44,88,40,2.3,scattered clouds
264,Karratha,AU,-20.7377,116.8463,77.54,64,8,14.79,clear sky
265,Tessalit,ML,20.1986,1.0114,81.68,9,0,14.85,clear sky
266,Aquiraz,BR,-3.9014,-38.3911,80.69,90,100,9.89,overcast clouds
267,Pierre,US,44.3683,-100.351,74.32,32,20,16.11,few clouds
268,Okakarara,NA,-20.5833,17.4333,54.86,31,0,5.14,clear sky
269,Ostersund,SE,63.1792,14.6357,37.85,100,20,14.97,light rain
270,Bilibino,RU,68.0546,166.4372,33.69,84,36,2.89,scattered clouds
271,Vestmannaeyjar,IS,63.4427,-20.2734,41.27,58,89,6.15,overcast clouds
272,Ola,RU,59.5833,151.2833,37.15,100,100,4.14,moderate rain
273,Butwal,NP,27.7006,83.4484,83.59,58,0,5.06,clear sky
274,Poronaysk,RU,49.2167,143.1167,42.21,95,100,10.63,heavy intensity rain
275,Arlit,NE,18.7369,7.3853,85.03,13,0,9.57,clear sky
276,Quballat,TN,36.5418,9.6633,63.48,57,5,2.68,clear sky
277,Avarua,CK,-21.2078,-159.775,82.45,78,100,9.22,overcast clouds
278,Basco,PH,20.4487,121.9702,83.62,77,100,12.21,overcast clouds
279,Lixourion,GR,38.2019,20.4314,64.18,81,100,4.99,overcast clouds
280,Bac Lieu,VN,9.285,105.7244,85.64,71,72,5.46,broken clouds
281,Hami,CN,42.8,93.45,61.74,9,3,12.24,clear sky
282,Limulunga,ZM,-15.0969,23.1376,65.34,50,82,3.78,broken clouds
283,Iqaluit,CA,63.7506,-68.5145,19.13,79,75,23.02,broken clouds
284,Ginir,ET,7.1333,40.7,56.71,87,1,4.83,clear sky
285,Bud,US,39.447,-86.1758,80.62,62,100,8.59,overcast clouds
286,Matara,LK,5.9485,80.5353,78.46,91,100,12.95,overcast clouds
287,Tucupita,VE,9.0622,-62.051,76.15,84,35,5.12,scattered clouds
288,Charters Towers,AU,-20.1,146.2667,77.52,49,0,9.93,clear sky
289,Todos Santos,MX,23.45,-110.2167,75.43,70,100,4.52,overcast clouds
290,Norman Wells,CA,65.282,-126.8329,60.84,23,75,4.61,broken clouds
291,Caravelas,BR,-17.7125,-39.2481,74.16,84,100,6.85,overcast clouds
292,Makakilo City,US,21.3469,-158.0858,79.68,62,0,14.9,clear sky
293,San Quintin,MX,30.4833,-115.95,67.91,58,28,11.63,scattered clouds
294,Manaquiri,BR,-3.3167,-60.35,81.05,97,100,3.24,overcast clouds
295,Fortuna,US,40.5982,-124.1573,64.92,80,75,5.75,broken clouds
296,Virginia Beach,US,36.8529,-75.978,69.84,94,75,6.91,mist
297,Nome,US,64.5011,-165.4064,40.15,48,0,10.36,clear sky
298,Narsaq,GL,60.9167,-46.05,31.28,81,64,7.09,broken clouds
299,Velka Bystrice,CZ,49.5948,17.3654,53.51,80,61,3.65,broken clouds
300,Soldotna,US,60.4878,-151.0583,51.96,30,0,16.11,clear sky
301,Coxim,BR,-18.5067,-54.76,76.53,55,6,3.58,clear sky
302,Pakxe,LA,15.1167,105.7833,82.54,89,40,2.3,scattered clouds
303,Gunjur,GM,13.2019,-16.7339,73.47,88,20,5.75,few clouds
304,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,50,0,10.36,clear sky
305,Kudahuvadhoo,MV,2.6708,72.8944,81.55,81,92,21.16,light rain
306,San Jose De Guanipa,VE,8.8872,-64.1651,82.78,58,100,13.96,overcast clouds
307,Paamiut,GL,61.994,-49.6678,29.35,70,100,22.28,overcast clouds
308,Touros,BR,-5.1989,-35.4608,77.74,87,99,9.55,overcast clouds
309,Port Blair,IN,11.6667,92.75,80.64,89,75,2.3,mist
310,Kavaratti,IN,10.5669,72.642,83.75,79,97,15.01,overcast clouds
311,Kopong,BW,-24.4833,25.8833,50.23,87,0,2.3,clear sky
312,Kyra,RU,49.5776,111.9753,52.97,36,6,8.12,clear sky
313,Kasongo-Lunda,CD,-6.4667,16.8167,70.66,94,76,0.87,broken clouds
314,Pacific Grove,US,36.6177,-121.9166,75.81,79,0,10.36,clear sky
315,Magugu,TZ,-4.0167,35.7667,62.22,90,99,3.02,overcast clouds
316,Guaymas,MX,27.9333,-110.9,94.89,29,1,13.87,clear sky
317,Pisco,PE,-13.7,-76.2167,64.02,88,3,13.8,clear sky
318,Uchiza,PE,-8.4592,-76.4633,70.7,96,74,2.84,broken clouds
319,Tual,ID,-5.6667,132.75,84.13,74,73,9.37,broken clouds
320,Alice Springs,AU,-23.7,133.8833,80.15,24,21,5.75,few clouds
321,Nador,MA,35.174,-2.9287,64.65,94,100,3.44,overcast clouds
322,Caluquembe,AO,-13.7833,14.6833,56.97,54,0,2.26,clear sky
323,Tura,IN,25.5198,90.2201,75.58,94,16,4.85,few clouds
324,Palampur,IN,32.1167,76.5333,73.33,34,0,7.83,clear sky
325,Vuktyl,RU,63.8567,57.3094,49.14,73,87,6.51,overcast clouds
326,Lambari,BR,-21.9756,-45.3503,56.98,86,0,2.93,clear sky
327,Birjand,IR,32.8663,59.2211,55.87,54,0,11.5,clear sky
328,Camopi,GF,3.1655,-52.3158,72.81,99,100,2.1,overcast clouds
329,Nawashahr,IN,31.1167,76.1333,83.5,18,0,5.17,clear sky
330,Sao Felix Do Xingu,BR,-6.6447,-51.995,76.17,86,98,2.55,overcast clouds
331,Cossato,IT,45.5739,8.1817,66.9,88,62,2.57,broken clouds
332,Awjilah,LY,29.1081,21.2869,65.55,59,0,12.84,clear sky
333,Puertollano,ES,38.6871,-4.1073,70.16,46,100,3.31,overcast clouds
334,Nikki,BJ,9.9401,3.2108,73.94,89,100,4.05,overcast clouds
335,Manjacaze,MZ,-24.7117,33.8828,62.76,92,0,5.59,clear sky
336,Cristalina,BR,-16.7686,-47.6136,65.86,61,73,3.49,broken clouds
337,Nortelandia,BR,-14.4547,-56.8028,75.15,56,10,3.27,clear sky
338,Sao Sebastiao,BR,-23.76,-45.4097,69.49,86,80,3.04,broken clouds
339,Oriximina,BR,-1.7656,-55.8661,75.83,93,100,2.44,overcast clouds
340,Bahar,IR,34.9072,48.4414,39.36,81,0,2.3,clear sky
341,Karpathos,GR,35.507,27.2132,60.76,94,0,3.44,clear sky
342,Birao,CF,10.2849,22.7882,82.08,50,100,3.11,overcast clouds
343,Saskylakh,RU,71.9167,114.0833,16.29,91,37,2.53,scattered clouds
344,Lavrentiya,RU,65.5833,-171.0,31.3,84,14,4.99,few clouds
