City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
633,Sao Geraldo Do Araguaia,BR,74.07,overcast clouds,-6.4006,-48.555,Hotel Por do Sol
634,Edgewater,US,75.02,few clouds,28.9889,-80.9023,Islander Beach Resort
637,Vila Velha,BR,73.02,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
641,Hamilton,US,77.77,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
644,Pedernales,DO,80.78,overcast clouds,18.0384,-71.744,Hotel Costa Marina
645,Logansport,US,80.65,scattered clouds,40.7545,-86.3567,"Holiday Inn Express & Suites Logansport, an IHG Hotel"
661,Kattivakkam,IN,82.49,overcast clouds,13.2167,80.3167,Euronova Freezer
668,Sarangani,PH,82.29,overcast clouds,5.4033,125.4636,Ballistic Islet
674,Porto Novo,BJ,80.64,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
676,Poso,ID,78.64,light rain,-1.3959,120.7524,Hotel 77 Poso
677,Tikapur,NP,84.96,clear sky,28.5,81.1333,BANANA AGRO RESORT
678,Isangel,VU,78.26,scattered clouds,-19.55,169.2667,Tanna Lodge
681,Malindi,KE,79.43,clear sky,-3.2175,40.1191,African House Resort
683,Eyl,SO,83.95,overcast clouds,7.9803,49.8164,Amiin Hotel
685,Banda Aceh,ID,82.9,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
686,Bensonville,LR,77.11,overcast clouds,6.4461,-10.6125,Moinga
692,Sao Miguel,BR,75.97,overcast clouds,-5.4667,-35.3667,CEJ - Centro Escoteiro da Juventude
